Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,27
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,13
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,30
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,34
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,24
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,29
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,22
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,34
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,31
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,32
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,17
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,21
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,30
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,21
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,27
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,22
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,18
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,8
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,12
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,24
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,35
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,30
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,7
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,4
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,25
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,6
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,18
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,25
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,6
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,24
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,27
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,24
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,24
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,14
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,23
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,22
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,3
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,9
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,8
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,17
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,14
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,5
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,23
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,21
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
